size,pattern,time
datasets/english/english1MB.txt,Accordingly,143
datasets/english/english2MB.txt,Accordingly,302
datasets/english/english3MB.txt,Accordingly,472
datasets/english/english4MB.txt,Accordingly,7483
datasets/english/english5MB.txt,Accordingly,860
datasets/english/english6MB.txt,Accordingly,1072
datasets/english/english7MB.txt,Accordingly,1180
datasets/english/english8MB.txt,Accordingly,17638
datasets/english/english9MB.txt,Accordingly,1631
datasets/english/english10MB.txt,Accordingly,1800
